"code","title","description","credits","createdAt","updatedAt","id","cycle"
MGL850,Applications et systèmes décentralisés,"Ce cours vise à familiariser l’étudiante ou l'étudiant avec les principaux concepts liés aux technologies des systèmes décentralisés et au développement d'applications décentralisées. Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure d’expliquer les fondements de systèmes décentralisés : réseaux pair-à-pair, cryptographie, problème du consensus distribué. Il sera également en mesure de concevoir un projet axé sur la technologie des chaînes de blocs avec...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,353268,2
MGL870-H25,DevOps: une approche systématique d'amélioration continue et d’automatisation,"",3,2024-11-02 01:50:21.506,2024-11-02 01:50:21.782,908595,2
ELE105,Circuits électriques,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : d'élaborer les modèles mathématiques des circuits électriques et électroniques et d’analyser le comportement de ces circuits par des méthodes analytiques sous différentes excitations. Composants passifs (R, L et C) et composants actifs (sources indépendantes et contrôlées). Lois d’Ohm et de Kirchhoff. Méthodes des mailles et des nœuds. Circuits en régime continu. Théorèmes fondamentaux (Thévenin, Norton,...",4,2024-11-02 01:50:21.503,2024-11-02 01:50:21.773,350221,1
SYS865-A24,"Amélioration des propriétés mécaniques (TTT. Traitements de surface), de la mise en forme et de la tenue en serv","Rendre l'étudiante ou l'étudiant capable d'analyser le comportement physique et mécanique des matériaux d'ingénierie afin de soutenir la conception de nouveaux composants et des machines. Un aperçu des paramètres contrôlant les propriétés physiques des matériaux métalliques (tels que l'aluminium, le cuivre, les aciers et les composites) sera passé en revue. Les méthodes de détermination des déformations élastiques et plastiques, des propriétés mécaniques et des lois de...",3,2024-11-02 01:50:21.501,2024-11-02 01:50:21.569,907940,2
ELE788,Circuits et antennes micro-ondes,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : de définir les paramètres S (paramètres de répartition) d’un circuit de radio fréquence (RF) et ses caractéristiques linéaires et non-linéaires;d’analyser une architecture d’une chaîne RF, et expliquer la fonctionnalité de ses composants; d’expliquer le mécanisme de rayonnement d’une antenne et de calculer ses paramètres de base; de classer les antennes multiples et les modes d’utilisation. Notions de...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,350695,1
ELE767,Apprentissage machine en intelligence artificielle,"Au terme de ce cours, l’étudiante ou l'étudiant aura été initié au domaine de l'intelligence artificielle par le biais de concepts fondamentaux en apprentissage automatique. Réseaux neuroniques. Modélisation d'un neurone. Règles d'apprentissage. Principaux modèles de réseaux neuroniques : perceptron, rétropropagation d'erreur, modèle de Hopfield, machine de Boltzmann et modèle ART. Apprentissage profond. Réseaux de neurones convolutifs, récurrents et autoencodeurs. Machines à...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,350627,1
GTI755,Apprentissage machine quantique,"Ce cours vise à acquérir des connaissances dans le domaine l’informatique quantique appliquées à l’intelligence artificielle, comprendre les contraintes des ordinateurs quantiques et comment les utiliser pour améliorer les performances des algorithmes d’apprentissage classiques. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : comprendre les éléments fondamentaux de l’apprentissage machine quantique ; identifier les problèmes ou sous-problèmes de...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,352077,1
ELE739,Circuits intégrés programmables (FPGA),"Acquérir les notions avancées permettant de concevoir et de réaliser des systèmes numériques complexes en utilisant la technologie des circuits intégrés programmables (FPGA, CPLD) de grande complexité. Analyse comparative des différentes technologies numériques : présentation des technologies de circuits intégrés VLSI programmables et de leur évolution, étude de la méthodologie, des outils et des techniques de conception et de réalisation. Séances de laboratoire faisant appel...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,350561,1
SYS862-H25,Apprentissage profond : fondements et applications à la mécanique computationnelle,"Le cours introduira les concepts de base de l’apprentissage profond (Deep Learning), mettant l’accent sur les fondements mathématiques, probabilistes et statistiques essentiels. Les étudiants auront l'occasion de mettre en pratique ces concepts à l'aide d'outils informatiques pour une application concrète dans le domaine de la mécanique computationnelle. Nous explorerons des modèles d'apprentissage supervisé et non supervisé, en abordant des concepts clés tels que l’estimation du...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,907925,2
MEC730,Climatisation et réfrigération industrielles,"Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de comprendre le fonctionnement des systèmes de climatisation et de réfrigération et de choisir et concevoir un système du point de vue opérationnel et économique. À la fin du cours, l’étudiante ou l’étudiant sera en mesure : d’analyser l’opération des systèmes de climatisation et de réfrigération; d’appliquer les principes de la psychrométrie au traitement d’air; d’appliquer les principes de cycles...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,352988,1
SYS801,Commande par micro-ordinateur,Maîtriser les principes de la commande de processus industriels par ordinateur et matériel associé à la commande numérique. Utiliser les outils nécessaires pour concevoir des boucles de régulation et implanter des algorithmes de commande à l'aide d'un microprocesseur. Conception de commandes numériques : correcteurs PID et variantes. Commande par anticipation. Rappel de la représentation d’état et du réglage par retour d’état. Méthodes d'estimation des paramètres : moindres...,4,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,353650,2
SSC820,Communication et leadership sur chantiers de construction,"Ce cours vise à développer des compétences pour communiquer efficacement comme cadre mandataire du maître d’oeuvre ou de l’entrepreneur à titre de responsable de la gestion de la santé et sécurité et de la protection de l’environnement sur les chantiers de construction. Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : d’informer et de s’assurer de la prise en charge des risques et des enjeux liés aux mandats, aux responsabilités, aux échéanciers et à...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,353516,2
MEC029,Communication graphique et fabrication mécanique,"À la fin du cours, l’étudiante ou l'étudiant sera en mesure : d’interpréter et de produire des dessins techniques en référence aux normes sur le tolérancement dimensionnel et géométrique; de calculer des jeux/serrages et des tolérances dimensionnelles en recourant aux principes de la cotation fonctionnelle; de choisir des ajustements normalisés en fonction des requis fonctionnels pour des assemblages mécaniques; de choisir les techniques et instruments de mesure appropriés à...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,352710,1
COM800,Communication technique (hors programme),Ce cours est destiné aux étudiantes et étudiants n’ayant pas démontré une connaissance satisfaisante de la langue française et devant faire la preuve de leur compétence en français par la réussite d’un cours de français d’appoint. Il s’adresse aux étudiantes et étudiants de cycles supérieurs qui souhaitent améliorer certains de leurs points faibles en français technique. Le cours vise à fournir à l’étudiante ou l'étudiant un apprentissage du lexique spécialisé à...,3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,349768,2
MAT802,Compléments de mathématiques (profil génie électrique),Acquérir les notions de mathématiques avancées souvent rencontrées dans les publications scientifiques en génie électrique.Modélisation mathématique. Méthodes numériques. Algèbre linéaire. Équations différentielles. Variables complexes. Séries et transformées diverses. Relations entre domaines de représentations. Variables aléatoires. Probabilités et statistiques. Exemples d'applications.,3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.777,352702,2
TCH057,Applications mobiles et expérience usager,"Ce cours ne peut être reconnu dans le cadre d’un programme de baccalauréat. Ce cours vise à initier l’étudiante ou l’étudiant au développement d’applications mobiles et à la création d’une interface usager. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : distinguer les différents éléments qui constituent une interface usager (conteneurs, boutons, zones de saisie, etc.); réaliser le prototypage rapide d’interfaces usager aux fins de tests...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,353962,1
TEL136,Circuits logiques et microprocesseurs,"Au terme de ce cours, l'étudiante ou l’étudiant sera en mesure : de réaliser des circuits logiques et des systèmes ordinés de base dans le contexte d’une machine de 16-32 bits. Circuits logiques MSI, LSI et VLSI : conception, technique de mise au point et contraintes de conception. Mise au point de logiciels et stratégies de base pour la conception d’interfaces et pour l’étude de circuits entrée-sortie. Concepts de programmation avant-plan arrière-plan. Synthèse de ces...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,353992,1
MGC803,Circularité dans les matériaux du génie civil,"Ce cours vise à fournir aux ingénieures et ingénieurs les outils nécessaires afin de leur permettre d’intégrer les principes de l’ingénierie circulaire dans le développement de matériaux du génie civil. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : appliquer les principes de l’ingénierie circulaire dans le développement, la conception et le choix de matériaux; porter un regard critique sur les notions relatives à l’intégration de matières...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.775,407585,2
LOG430,Architecture logicielle,"À la fin de ce cours, l'étudiante ou l'étudiant sera en mesure : de documenter une architecture logicielle;d’analyser une architecture logicielle;de concevoir une architecture logicielle dirigée par les attributs de qualité; Caractéristiques du problème de conception, architecture et ingénierie, rôle et importance de l'architecte, scénarios d'attributs de qualité, tactiques architecturales, familles de structures architecturales, styles architecturaux, conception de l'architecture...",4,2024-11-02 01:50:21.502,2024-11-02 01:50:21.776,352457,1
GES870,Aspects contractuels des projets internationaux d'ingénierie,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : - de maîtriser le processus d'élaboration des contrats internationaux; - d’identifier les différentes sources du droit des contrats internationaux; - de répertorier les recours possibles dans les cas de disputes commerciales et de résolution de conflits; - d’établir des scénarios de gestion contractuelle en matière d’approvisionnement et de partenariats d’affaires. Droit des affaires internationales. Sources du...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.776,351029,2
ELE656,Asservissement des machines électriques,"Au terme de ce cours, l'étudiante ou l'étudiant aura revu les notions de base nécessaires à la compréhension des asservissements et se sera familiarisé avec les éléments nécessaires à leur réalisation. Asservissement des machines à courant continu : alimentation par redresseurs et hacheurs, comparaison de performances avec redresseurs double alternance en pont commandé, semi-commandé et hacheurs, entraînement triphasé, opération en boucle fermée en régulation de vitesse ou de...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.776,350427,1
ELE757,Comportement des réseaux électriques,"*Ce cours est réservé aux étudiantes et aux étudiants sélectionnés par l'IGEE Classification des phénomènes sur un réseau électrique. Introduction aux méthodes et aux outils de simulation. Phénomènes transitoires électromagnétiques. Introduction au logiciel EMTP. Modélisation avancée des lignes de transport. Modélisation des équipements : parafoudres, transformateurs, disjoncteurs et systèmes électroniques de puissance. Surtensions : manoeuvre, temporaire, foudre,...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.777,350613,1
GPA445,Conception assistée par ordinateur,"Au terme de ce cours, l’étudiante ou l’étudiant aura acquis une vision globale de la technologie de la conception assistée par ordinateur et vu les possibilités associées aux outils de conception tout en cernant leurs limites. Il sera en mesure d’identifier et de décrire les principales composantes d'un système de CAO, de décrire et d’utiliser les principales fonctions d'un système de CAO, de comprendre les différentes techniques de modélisation utilisées en CAO,...",4,2024-11-02 01:50:21.505,2024-11-02 01:50:21.777,351539,1
GTS815,Biomécanique orthopédique,"Acquérir des connaissances en biomécanique musculosquelettique et orthopédique, plus particulièrement sur les dernières avancées reliées aux implants orthopédiques. Au terme de ce cours l’étudiante ou l'étudiant sera en mesure de reconnaître les spécificités reliées au domaine de l’orthopédie : biomécanique et mécanobiologie. Analyse de forces et technique de modélisation des articulations, arthrose, scolioses et autres pathologies du système musculosquelettique. Enjeux...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.777,352215,2
GES826,Cadre juridique de base pour ingénieurs en affaires,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : d’intégrer les aspects juridiques pertinents à sa pratique en ingénierie d’affaires; de développer son autonomie professionnelle;de porter un jugement critique sur les qualités qui doivent caractériser la conduite professionnelle de l’ingénieur et les responsabilités qui lui incombent. Lois et règlements régissant la profession. Déontologie et éthique professionnelle. Impact du Code civil du Québec sur les...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.778,350978,2
SYS876,Caractérisation des matériaux et procédés métallurgiques,"Ce cours vise à initier les étudiantes et étudiants à la caractérisation avancée des matériaux et des procédés de fabrication afin de produire des pièces métalliques possédant les performances en service désirées. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : appliquer différentes méthodes de résolution des problèmes liés en fabrication; utiliser différentes méthodes de caractérisation mécanique (monotone et fatigue); caractériser les...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.778,910294,2
MGA855,Certification des systèmes embarqués d'aéronefs,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : de distinguer les différentes normes et règlementations des systèmes embarqués;d’appliquer les concepts de certification dans la conception de systèmes aéronautiques;d’identifier les différentes phases de conception d’un produit logiciel et matériel;d’utiliser les normes de performances minimales et les procédures pour les essais de certification;de concevoir les tests nécessaires à la certification d’un...",4,2024-11-02 01:50:21.503,2024-11-02 01:50:21.779,353161,2
DST404,Conception et analyse d’objets techniques,"Méthodologie de développement d’un objet technique. Définition du problème et cahier des charges. Élaboration et évaluation des solutions. Éléments de CAO. Méthodes de fabrication industrielle. Réalisation d’un objet technique (FAO). Séances de travaux pratiques et de laboratoire portant sur la conception, la modélisation et la réalisation d’objets techniques. ",3,2024-11-02 01:50:21.505,2024-11-02 01:50:21.779,350173,1
GTI771,Apprentissage machine avancé,"Ce cours présente les concepts d’apprentissage automatique par les ordinateurs. Plusieurs problèmes applicatifs seront étudiés et différentes méthodes d’apprentissage automatique émanant du génie des technologies de l’information, de la théorie de l’information et de l’intelligence artificielle seront étudiées. À la fin de ce cours, les étudiantes et les étudiants seront en mesure de : illustrer et expliquer la nature des systèmes intelligents; appliquer les...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.773,352099,1
SYS819,Apprentissage profond,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure de maîtriser les différents types d'architectures neuronales pour l’apprentissage profond et leurs applications ; d’analyser les avantages et les limitations de ces architectures pour une application donnée. Le cours est divisé en deux parties : la première partie du cours porte sur les architectures neuronales profondes, en particulier l’apprentissage supervisé des réseaux neuronaux convolutifs et récurrents. La...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,353722,2
CTN760,Approches et outils pour la conception environnementale,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : d’utiliser différents outils pour évaluer les impacts environnementaux potentiels d’un projet d’ingénierie sur tout son cycle de vie; d’intégrer les aspects environnementaux du cycle de vie dans un projet de conception en ingénierie; de développer une stratégie de mise en application de la conception environnementale. Impact des activités humaines et industrielles sur l’environnement. Quantification des...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,350045,1
MGL844,Architecture logicielle,"Ce cours met l'emphase sur les attributs de qualité comme pilotes des activités d'analyse, d'élaboration, d'évaluation et d'implémentation de l'architecture logicielle. Architecture et cycle de vie, attributs de qualité, tactiques architecturales, styles/patrons architecturaux avec emphase sur les styles modernes (infonuagique - ""cloud computing"", architectures orientées services - SOA), formalismes pour exprimer une architecture logicielle (notations informelles, UML, langages de...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.776,353258,2
MGC824,Aspects légaux et administration des contrats de construction,"Ce cours vise à comprendre les lois, règlements et aspects juridiques touchant la gestion de la conception et de la réalisation des projets de construction, ainsi que l’administration des contrats liant les différents intervenants d’un projet de construction et les aspects juridiques s’y rattachant. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : identifier les principales lois et règlements touchant la construction et la gestion des projets de construction;...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.776,412707,2
MAT001,Complément de mathématiques (hors-programme),"Ce cours vise à consolider et développer les connaissances mathématiques préalables pour accéder à l’Année préparatoire.  Au terme de ce cours, l’étudiante et l’étudiant sera en mesure de : manipuler des expressions algébriques conformément aux règles établies ; raisonner avec la géométrie analytique et vectorielle; résoudre des problèmes par des équations et des inéquations; analyser des situations en utilisant des fonctions réelles à une variable; appliquer les...",2,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,910809,1
MTI805,Compréhension de l'image,"Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure : de reconnaître les algorithmes contemporains de compréhension de l’image et de vision par ordinateur;de développer un sens critique face aux différents algorithmes en compréhension de l’image et en vision par ordinateur;de concevoir et implémenter des solutions de base en compréhension de l’image et en vision par ordinateur;de comprendre les questions de recherche en compréhension de l’image et en vision par...",3,2024-11-02 01:50:21.505,2024-11-02 01:50:21.777,353310,2
AER200,Conception assistée par ordinateur en aérospatiale,"Au terme de ce cours, l’étudiant sera en mesure de : décrire et utiliser les principales fonctions d’un système de CAO. Il aura acquis une vision globale des technologies de conception assistée par ordinateur mises en œuvre pour construire des maquettes numériques en développement de produits aéronautiques. Il saura cerner les possibilités et les limites associées aux outils de conception. Il saura choisir parmi les différentes techniques de modélisation utilisées en CAO celles...",4,2024-11-02 01:50:21.505,2024-11-02 01:50:21.777,911870,1
GTS816,Biomatériaux avancés et ingénierie tissulaire,"Ce cours vise à fournir des connaissances pour concevoir et caractériser des biomatériaux bioactifs et des matrices relatives aux applications biomédicales, plus particulièrement pour la médecine régénératrice. Le cours couvre notamment les biomatériaux et procédés de fabrication des matrices, la caractérisation et la modification de surfaces et les aspects cellulaires et biologiques de base à considérer. Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.777,352219,2
SYS825,Conception des environnements manufacturiers,"Maîtriser des techniques classiques de conception des environnements manufacturiers, de même que des nouvelles approches développées pour remédier aux problèmes de production en contexte de mondialisation. Approche très quantitative partagée entre des modèles d’optimisation mathématiques et des heuristiques. Définition des environnements manufacturiers, de leurs composantes et de leur évolution dans les contextes de systèmes de production à flux continu, en atelier et...",3,2024-11-02 01:50:21.505,2024-11-02 01:50:21.778,353728,2
SDE880-H25,Caractérisation des matériaux en génie de la construction et de l’environnement,"L’objectif du cours est de montrer les méthodes de caractérisation de la microstructure des matériaux utilisés en génie de la construction et en génie de l’environnement. Les sujets couverts porteront sur les principes d’échantillonnage des matériaux granulaires et des surfaces, de préparation d’échantillons, de calibration et d’extraction et de fonctionnement des instruments de caractérisation, surtout pour les matériaux utilisés en génie de la construction et en génie...",3,2024-11-02 01:50:21.503,2024-11-02 01:50:21.778,907901,2
CTN784,Conception et analyse des ponts,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure : de concevoir et analyser les structures de ponts; d’évaluer les charges spécifiques à ce type de structures à l’aide de logiciels d’analyse de structures; de dimensionner les différents éléments structuraux des ponts et viaducs (tablier, piles, chevêtres, systèmes d’appuis, fondations, etc.) selon la norme canadienne des ponts routiers et autoroutiers CAN/CSA-S6; de produire des notes de calcul...",3,2024-11-02 01:50:21.505,2024-11-02 01:50:21.779,350135,1
GTI350,Conception et évaluation des interfaces utilisateurs,"Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure :de faire des choix judicieux lors de la conception d'une interface utilisateur, en appliquant des directives de conception et en respectant les besoins des utilisateurs; de réaliser des prototypes de l'interface conçue; d'appliquer des méthodes d'évaluation pour valider les prototypes et guider leur modification. Étapes de spécification, de conception, de développement, et d'évaluation des interfaces utilisateurs...",4,2024-11-02 01:50:21.505,2024-11-02 01:50:21.780,351911,1
ELE200,Circuits électroniques,"Au terme de ce cours, l'étudiante ou l'étudiant sera familier avec le fonctionnement et les caractéristiques des composants électroniques tels que les diodes, les amplificateurs opérationnels, les transistors BJT et les transistors FET. Elle ou il aura acquis les notions d'analyse et de conception des circuits analogiques et se sera familiarisé avec l’utilisation des outils informatiques d'ingénierie assistée par ordinateur (IAO) pour l'analyse et la conception des circuits...",4,2024-11-02 01:50:21.504,2024-11-02 01:50:21.773,350241,1
GPA710,Apprentissage profond,"Au terme de ce cours, l’étudiante ou l'étudiant sera en mesure de maîtriser et expérimenter les concepts de base de l’apprentissage profond, incluant : différents types d'architectures de réseaux de neurones profonds, leurs applications, et les avantages et limitations de ces architectures; conception et optimisation de modèles pour une application donnée; l’entrainement des réseaux profonds : fonctions de coûts, rétro‐propagation, descente de gradient stochastique,...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,351659,1
IND105,Architecture des microprocesseurs,"Ce cours vise à initier les étudiantes et les étudiants aux architectures les plus courantes du processeur de systèmes ordinés. Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure de : distinguer les différentes architectures de processeurs ; identifier l’architecture des processeurs présents dans un système ordiné ; distinguer les différents types de parallélisme d’exécution ; choisir une architecture appropriée pour l’application. Représentations de...",3,2024-11-02 01:50:21.502,2024-11-02 01:50:21.775,352249,1
MTI710,Commerce électronique,"Au terme de ce cours, l’étudiante ou l’étudiant sera en mesure : d’expliquer les concepts de base du commerce électronique, en particulier ses aspects technologiques et d’ingénierie; de concevoir des systèmes de commerce électronique de type B2C. Introduction aux intergiciels (Middleware) : principes, architecture et utilisation. Protocoles de commerce électronique et services Web : principes, architecture et application (SOAP, UDDI, WDL, ebXML, etc.). Environnements .NET,...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,353296,2
TEL126,Communications analogiques et circuits de télécommunications,"Au terme de ce cours, l'étudiante ou l’étudiant sera en mesure : d’analyser, dans les domaines temporel et fréquentiel, les circuits électroniques utilisés dans les systèmes de télécommunications; d’évaluer la performance des circuits électroniques utilisés dans les systèmes de télécommunications. Analyse de circuits. Amplificateurs à transistor et amplificateurs opérationnels. Diagramme de Bode. Multiplexage en fréquence et multiplexage dans le temps. Caractéristiques...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,353986,1
ELE772,Communications optiques,"Au terme de ce cours, l'étudiante ou l'étudiant aura vu les notions fondamentales associées au design, à l’analyse et aux tests de performance des systèmes de transmission à fibre optique et des réseaux optiques. Principes fondamentaux et analyse des principaux éléments d’un système de transmission à fibre optique. Transmetteurs optiques. Récepteurs optiques. Fibre optique: atténuation, dispersion chromatique, PMD, effets non linéaires. Techniques de modulation et de...",3,2024-11-02 01:50:21.504,2024-11-02 01:50:21.776,350643,1
GOL111,Comportement organisationnel et performance des équipes,"Au terme de ce cours, l’étudiante ou l’étudiant aura acquis les connaissances, les habilités et les attitudes nécessaires afin d’aider les équipes dans leur contexte de travail à progresser dans leur fonctionnement en appliquant des notions en comportement organisationnel. Niveau individuel (personnalités, valeurs, motivation, modèles mentaux). Niveau groupal (dynamiques, rôles, organisation du travail, communication, gestion des conflits, processus de décision, autonomisation)....",4,2024-11-02 01:50:21.505,2024-11-02 01:50:21.777,351117,1
